codigo,descripcion,und_compra,unidades_que_trae,unidad_suelta
020194,"ABRAZADERA UNISTRUT 1-1/4"" C/PERNO Y TUERCA",PAR,,
020195,"ABRAZADERA UNISTRUT 1-1/2"" C/PERNO Y TUERCA",PAR,,
020196,"ABRAZADERA UNISTRUT 2"" C/PERNO Y TUERCA",PAR,,
020197,"ABRAZADERA UNISTRUT 2 1/2"" C/PERNO Y TUERCA",PAR,,
020198,"ABRAZADERA UNISTRUT 3"" C/PERNO Y TUERCA",PAR,,
020199,"ABRAZADERA UNISTRUT 4"" C/PERNO Y TUERCA",PAR,,
020415,"ALCAYATA ESTRIADA 1"" (2.7 X 25MM) 500GR",CAJA,,
020416,"ALCAYATA ESTRIADA 1 1/2"" (2.7 X 40MM) 500GR",CAJA,,
020420,"ALCAYATA ESTRIADA 2 1/2"" (3.5 X 63MM) 500GR",CAJA,,
020421,"ALCAYATA ESTRIADA 3"" (4.3 X 75MM) 500GR",CAJA,,
020422,"ALCAYATA ESTRIADA 4"" (4.3 X 100MM) 500GR",CAJA,,
020423,"ALCAYATA ESTRIADA 5"" (125MM) 500GR",CAJA,,
020430,"CLAVO DE ACERO LISO PARA CONCRETO 3/4"" (2.0 X 20MM) CJA X 500GR",CAJA,,
020431,"CLAVO DE ACERO LISO PARA CONCRETO 1"" (2.5 X 25MM) CJA X 500GR",CAJA,,
020432,"CLAVO DE ACERO LISO PARA CONCRETO 1 1/4"" (2.5 X 30MM) CJA X 500GR",CAJA,,
020433,"CLAVO DE ACERO LISO PARA CONCRETO 1 1/2"" (2.5 X 40MM) CJA X 500GR",CAJA,,
020434,"CLAVO DE ACERO LISO PARA CONCRETO 2"" (2.5 X 50MM) CJA X 500GR",CAJA,,
020435,"CLAVO DE ACERO LISO PARA CONCRETO 2 1/2"" (2.5 X 60MM) CJA X 500GR",CAJA,,
020436,"CLAVO DE ACERO LISO PARA CONCRETO 3"" (2.5 X 75MM) CJA X 500GR",CAJA,,
020437,"CLAVO DE ACERO LISO PARA CONCRETO 4"" (2.5 X 100MM) CJA X 500GR",CAJA,,
020441,"CLAVO DE ACERO ESTRIADO VERTICAL 1"" (2.7 X 25MM) CJA X 500GR -140UND PRODAC",CAJA,,
020445,"CLAVO DE ACERO ESTRIADO VERTICAL 3"" (4.0 X 75MM) CJA X 500GR",CAJA,,
260121,"BISAGRA CAPUCHINA BRONCEADA PESADA X-TREMA 3""X3""",PAR,,
260131,BISAGRA OMEGA 3”X 3” INOX,PAR,,
260176,"BISAGRA 4X3"" PARA PUERTA PROVISIONAL",PAR,,
260177,"BISAGRA 4X4"" PARA PUERTA PROVISIONAL",PAR,,
390122,BOLSA DE BASURA DE 50LT,PQT,,
390163,GRAPAS PARA ENGRAPADOR X CAJA,CAJA,,
390178,LIMPIATIPO,PQT,,
600413,PERFIL H CONECTOR PARA POLICARBONATO 8MM,ROLLO,,
830147,ROLLO DE VENDA ELASTICA DE 4 PULG. X 5 YARDAS,ROLLO,,
830151,VENDA TRIANGULAR,ROLLO,,
830231,GUANTES DE JEBE TALLA L,PAR,,
830237,GUANTES CORRUGADO S,PAR,,
830241,GUANTES CORRUGADO L,PAR,,
830251,ZAPATOS DE SEGURIDAD REFORZADOS CON PUNTA DE ACERO DIELECTRICOS,PAR,,
830259,"GUANTES DE NITRILO ""S""",CAJA,,
830260,"GUANTES DE NITRILO ""M""",CAJA,,
830261,TAFILETE PARA CASCO,CAJA,,
830262,BOTAS DE JEBE PUNTA DE ACERO,PAR,,
830317,CINTA ROJA DE DELIMITACION,ROLLO,,
