codigo,material,und_base_equiv,factor_caja,nota_equiv,unidad_DANAUS,saldo_DANAUS
020417,"ALCAYATA ESTRIADA 1 1/2"" (3.5 x 40mm) 500gr",GR,500.0,"antes: 50.0 UND (pieza) -> ahora: 500.0 GR (peso de caja, no pieza)",CAJA,661.0
020418,"ALCAYATA ESTRIADA 2"" (3.5 x 50mm) 500gr",GR,500.0,"antes: 50.0 UND (pieza) -> ahora: 500.0 GR (peso de caja, no pieza)",CAJA,0.0
020419,"ALCAYATA ESTRIADA 2"" (3.7 x 50mm) 500gr",GR,500.0,"antes: 50.0 UND (pieza) -> ahora: 500.0 GR (peso de caja, no pieza)",CAJA,20.0
020442,"CLAVO DE ACERO ESTRIADO VERTICAL 1 1/2"" (2.7 x 40mm) Cja x 500gr ",GR,500.0,"antes: 50.0 UND (pieza) -> ahora: 500.0 GR (peso de caja, no pieza)",CAJA,33.0
020443,"CLAVO DE ACERO ESTRIADO VERTICAL 2"" (3.5 x 50mm) Cja x 500gr",GR,500.0,"antes: 50.0 UND (pieza) -> ahora: 500.0 GR (peso de caja, no pieza)",CAJA,88.0
020444,"CLAVO DE ACERO ESTRIADO VERTICAL 2 1/2"" (3.5 x 63mm) Cja x 500gr",GR,500.0,"antes: 50.0 UND (pieza) -> ahora: 500.0 GR (peso de caja, no pieza)",CAJA,0.0
020446,"CLAVO DE ACERO ESTRIADO VERTICAL 3"" (4.3 x 75mm) Cja x 500gr",GR,500.0,"antes: 50.0 UND (pieza) -> ahora: 500.0 GR (peso de caja, no pieza)",CAJA,0.0
020447,"CLAVO DE ACERO ESTRIADO VERTICAL 4"" (4.3 x 100mm) Cja x 500gr ",GR,500.0,"antes: 50.0 UND (pieza) -> ahora: 500.0 GR (peso de caja, no pieza)",CAJA,54.0
390123,BOLSA DE BASURA DE 75LT,UND,100.0,Confirmado por Lucia: 100 UND (antes: 100.0 MTS),PQT,1.0
390124,BOLSA DE BASURA DE 140 LT,UND,100.0,Confirmado por Lucia: 100 UND (antes: 100.0 MTS),PQT,1.0
830313,CINTA DE SEGURIDAD COLOR AMARILLO,MTS,100.0,,ROLLO,1.0
830321,MALLA FAENA EN ROLLO NARANJA 50 YD. ,MTS,45.72,Confirmado por Lucia: convertir a metros. 50 YD x 0.9144 = 45.72 MTS (antes: 50.0 MTS),ROLLO,1.0
