proyecto,obra,incidencia,fecha,doc,codigo,material,unidad,cantidad,obs
2502,DANAUS,Entrada con cantidad negativa (signo invertido),2025-10-11,001-00144,020222,ALAMBRE NEGRO RECOCIDO N° 8,KG,-5.0,
2502,DANAUS,Entrada con cantidad negativa (signo invertido),2025-11-15,001-00238,720251,"TUBO 1"" PVC SEL",UND,-1.0,
2502,DANAUS,Entrada con cantidad negativa (signo invertido),2025-11-15,001-00240,720253,"TUBO 3/4"" PVC SEL",UND,-2.0,
2502,DANAUS,Entrada con cantidad negativa (signo invertido),2026-01-10,S/N,120793,CABLE MELLIZO 2X18 AWG P/AUDIO R/N SILICONADO,UND,-100.0,
2502,DANAUS,Entrada con cantidad negativa (signo invertido),2026-01-12,S/N,390165,CAJA DE AGUA 20LT,UND,-1.0,
2502,DANAUS,Entrada con cantidad negativa (signo invertido),2026-01-27,S/N,720163,"TUBO 2"" PVC DESAGUE PESADO",UND,-2.0,
2502,DANAUS,Entrada con cantidad negativa (signo invertido),2026-01-27,S/N,720164,"TUBO 3"" PVC DESAGUE PESADO",UND,-2.0,
2502,DANAUS,Entrada con cantidad negativa (signo invertido),2025-10-29,EG07-00000258,040111,ARENA FINA DE CUNYAC,M³,-2.0,
2502,DANAUS,Entrada con cantidad negativa (signo invertido),2026-05-06,S/N,590222,AQUAPANEL 1.22x2.44x12.5MM,UND,-48.0,
2502,DANAUS,Entrada con cantidad negativa (signo invertido),2025-05-22,S/N,390163,GRAPAS PARA ENGRAPADOR X CAJA,CAJA,-1.0,
2502,DANAUS,Entrada con cantidad negativa (signo invertido),2025-09-11,S/N,390143,ARCHIVADOR OFICIO,UND,-4.0,
2502,DANAUS,Entrada con cantidad negativa (signo invertido),2025-10-16,S/N,070116,CABLE NH-90 2.5 Mm2 COLOR AMARILLO TIERRA,MTS,-200.0,
2502,DANAUS,Entrada con cantidad negativa (signo invertido),2025-10-16,S/N,070120,CABLE NH-90 2.5 Mm2 COLOR ROJO,MTS,-100.0,
2502,DANAUS,Entrada con cantidad negativa (signo invertido),2025-10-16,S/N,070119,CABLE NH-90 2.5 Mm2 COLOR NEGRO,MTS,-100.0,
2502,DANAUS,Entrada con cantidad negativa (signo invertido),2025-10-30,S/N,720163,"TUBO 2"" PVC DESAGUE PESADO",UND,-3.0,
2502,DANAUS,Entrada con cantidad negativa (signo invertido),2026-06-04,S/N,810311,EPOXICO PARA ANCLAJE DE CONCRETO TIPO PISTOLA (Sika AnchorFix®-3001),UND,-1.0,
2502,DANAUS,Entrada con cantidad negativa (signo invertido),2026-06-06,S/N,850110,RIEL 39MM,UND,-150.0,
2502,DANAUS,Entrada con cantidad negativa (signo invertido),2026-06-06,S/N,850112,PARANTE 38MM,UND,-50.0,
2502,DANAUS,Entrada con cantidad negativa (signo invertido),2026-06-06,S/N,590212,PLACA FIBROCEMENTO SUPERBOARD ST 6MM 1.22X2.44 METROS,UND,-20.0,
2502,DANAUS,Entrada con cantidad negativa (signo invertido),2026-06-11,S/N,040122,ARENA GRUESA ROJA,M³,-5.0,
2502,DANAUS,Entrada con cantidad negativa (signo invertido),2026-06-11,S/N,040122,ARENA GRUESA ROJA,M³,-3.0,
2502,DANAUS,Entrada con cantidad negativa (signo invertido),2026-06-11,S/N,050211,"PIEDRA CHANCADA DE 1/2""",M³,-3.0,
2502,DANAUS,Entrada con cantidad negativa (signo invertido),2026-06-27,S/N,040111,ARENA FINA DE CUNYAC,M³,-2.0,
2502,DANAUS,Entrada con cantidad negativa (signo invertido),2026-07-16,RQ-330,020222,ALAMBRE NEGRO RECOCIDO N° 8,KG,-109.0,
2502,DANAUS,Entrada con cantidad negativa (signo invertido),2026-08-26,S/N,430194,CANTONERA DE ALUMINIO PARA ESCALERA,UND,-8.0,
2502,DANAUS,Salida con cantidad positiva (signo invertido),2025-12-02,001-00317,830243,GUANTES DE HILO CON PALMA DE GOMA ROJO/AMARILLO,PAR,1.0,
2502,DANAUS,Salida con cantidad positiva (signo invertido),2026-01-06,S/N,720159,"TEE SANITARIA 4""X4"" PVC SAL",UND,6.0,
2502,DANAUS,Salida con cantidad positiva (signo invertido),2026-01-06,S/N,720164,"TUBO 3"" PVC DESAGUE PESADO",UND,6.0,
2502,DANAUS,Salida con cantidad positiva (signo invertido),2026-01-06,S/N,720184,"YEE 4""X2"" PVC SAL",UND,20.0,
2502,DANAUS,Salida con cantidad positiva (signo invertido),2026-01-06,S/N,720156,"TEE 4""X4"" PVC SAL",UND,6.0,
2502,DANAUS,Salida con cantidad positiva (signo invertido),2026-01-06,S/N,720148,"TAPON 4"" PVC DESAGUE",UND,30.0,
2502,DANAUS,Salida con cantidad positiva (signo invertido),2026-01-06,S/N,720146,"TAPON 2"" PVC DESAGUE",UND,60.0,
2502,DANAUS,Salida con cantidad positiva (signo invertido),2026-01-06,S/N,860454,PEGAMENTO OATEY X 1/8GL NEGRO 378.2ML,UND,6.0,
2502,DANAUS,Salida con cantidad positiva (signo invertido),2026-01-06,S/N,720160,"TRAMPA P 2"" BLANCA PARA PISO",UND,25.0,
2502,DANAUS,Salida con cantidad positiva (signo invertido),2026-01-09,S/N,390165,CAJA DE AGUA 20LT,UND,10.0,
2502,DANAUS,Salida con cantidad positiva (signo invertido),2026-01-10,S/N,370216,"DISCO DE CORTE PARA METAL 7"" X 1/16"" NORTON",UND,25.0,
2502,DANAUS,Salida con cantidad positiva (signo invertido),2025-12-10,EG07-00000355,040111,ARENA FINA DE CUNYAC,M³,2.0,
2502,DANAUS,Salida con cantidad positiva (signo invertido),2025-10-07,RQ-077,370354,ESCOBILLA DE ACERO,UND,24.0,
2502,DANAUS,Salida con cantidad positiva (signo invertido),2025-10-07,RQ-077,530101,PETROLEO,GLN,20.0,
2502,DANAUS,Salida con cantidad positiva (signo invertido),2025-05-24,S/N,040121,ARENA GRUESA DE CANTERA HUAMBUTIO,M³,5.0,
2502,DANAUS,Salida con cantidad positiva (signo invertido),2025-06-11,S/N,040351,YESO EN SACO DE 28 kg,BLS,3.0,
2502,DANAUS,Salida con cantidad positiva (signo invertido),2025-10-16,S/N,100534,"GRIFERIA LLAVE DE 1/2"" JARDINERA PARA PROVISIONALES (CAÑO)",UND,3.0,
2502,DANAUS,Salida con cantidad positiva (signo invertido),2025-10-17,S/N,040111,ARENA FINA DE CUNYAC,M³,2.5,
2502,DANAUS,Salida con cantidad positiva (signo invertido),2025-10-28,S/N,040111,ARENA FINA DE CUNYAC,M³,2.0,
2502,DANAUS,Salida con cantidad positiva (signo invertido),2025-12-19,S/N,120125,FOCO DICROICO 8W LUZ CALIDA,UND,3.0,INVENTARIO ANUAL
2502,DANAUS,Salida con cantidad positiva (signo invertido),2025-12-20,S/N,030101,"ACERO CORRUGADO G° 60 DE 1"" x 9M AA",VARILLA,14.0,LUZ DEVUELVE LO PRESTADO A DANAUS
