proyecto,obra,incidencia,fecha,doc,codigo,material,unidad,cantidad,obs
2503,MAIA,CANTIDAD vacia,2026-08-19,001-0000591,020557,TORNILLO PUNTA FINA (GYPLAC) 6X1,UND,,
2503,MAIA,CODIGO no tiene 6 digitos,2026-07-07,RQ-42,3901105,EXTENSION UNIVERSAL VULCANIZADA 5MTS,UND,2.0,
2503,MAIA,CODIGO no tiene 6 digitos,2026-07-07,RQ-42,3901105,EXTENSION UNIVERSAL VULCANIZADA 5MTS,UND,-2.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2025-09-16,INVENT/001-0000005,810132,CHEMA EXPAND X 850 GR.,KG,-5.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2025-10-14,S/N,930271,TELA ARPILLERA LAMINADA 2X200M,MTS,-90.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2025-11-11,S/N,370312,CUTTER TRUPER PROFESIONAL,UND,-2.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2025-11-12,S/N,260355,CANDADO F50,UND,-1.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,060321,ELECTRODO PARA SOLDADURA E-6011,KG,-3.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,370341,HOJA DE SIERRA SANDFLEX #18,UND,-4.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,720130,"REDUCCION 3""X2"" PVC SAL",UND,-3.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,720131,"REDUCCION 4""X2"" PVC SAL",UND,-1.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,720132,"REDUCCION 4""X3"" PVC SAL",UND,-1.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,810641,SIKAREP®-350 (MORTERO DE REPARACION),UND,-1.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,720148,"TAPON 4"" PVC DESAGUE",UND,-28.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,720155,"TEE 3""X3"" PVC SAL",UND,-4.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,900141,TEE THC INSERTO HEMBRA 20MMX1/2 ,UND,-1.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,720159,"TEE SANITARIA 4""X4"" PVC SAL",UND,-7.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,720160,"TRAMPA P 2"" BLANCA PARA PISO",UND,-31.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,720251,"TUBO 1"" PVC SEL",UND,-29.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,720253,"TUBO 3/4"" PVC SEL",UND,-260.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,720165,"TUBO 4"" PVC DESAGUE PESADO",UND,-4.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,720171,"UNION 2"" PVC PESADO DESAGUE",UND,-62.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,720173,"UNION 4"" PVC PESADO DESAGUE",UND,-20.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,720182,"YEE 3""X2"" PVC SAL",UND,-10.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,720183,"YEE 3""X3"" PVC SAL",UND,-2.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,720184,"YEE 4""X2"" PVC SAL",UND,-9.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,720186,"YEE 4""X4"" PVC SAL",UND,-4.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,370615,ESPONJA ALAMBRADA X 10UND,UND,-1.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,810411,CEMENTO CONDUCTIVO THORCEN,UND,-1.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,720129,"CODO DE VENTILACION 4""X2"" PVC SAL",UND,-12.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,001-128,900119,CODO THC BETA PP-RCT DE 32MM X 90°,UND,-8.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,720233,"CURVA 3/4"" PVC SEL",UND,-700.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,260313,"PICAPORTE BLISTER 5"" PID105",UND,-1.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,600132,"PLANCHA DE POLIESTIRENO EXPANDIDO DE 2"" 1.20 X 2.40 METROS",UND,-4.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,600111,CASETON POLIESTIRENO 15X30X3.00M D-12kg/M3,UND,-61.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,001-128,900128,REDUCCION COPLA THC BETA  PP-RCT DE 32MM A 25MM,UND,-1.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,830257,RESPIRADOR DE SILICONA CON FILTROS,UND,-2.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,540413,SELLADOR DE ROSCA 125 HIDRO 3 250cc,UND,-1.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,001-128,900134,ADAPTADOR (TERMINAL) INSERTO MACHO ROSCA PPR DE 32MM THC,UND,-2.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,900112,TUBO THC BETA  DE 20MM CLASE 16  PP-RCT (5.80 m),UND,-1.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,720273,"UNION 3/4"" PVC SEL",UND,-200.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,030104,"ACERO CORRUGADO G° 60 DE 1/2"" x 9M AA",VARILLA,-540.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,030107,"ACERO CORRUGADO G° 60 DE 1/4"" x 9M AA",VARILLA,-392.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,030106,"ACERO CORRUGADO G° 60 DE 3/8"" x 9M AA",VARILLA,-651.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,030103,"ACERO CORRUGADO G° 60 DE 5/8"" x 9M AA",VARILLA,-243.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-03,S/N,030101,"ACERO CORRUGADO G° 60 DE 1"" x 9M AA",VARILLA,-2.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-10,RQ-136,950451,MANGUERA DE RIEGO,MTS,-25.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-24,EG07-00000320 / RQ- 149,170221,LADRILLO KK 18 HUECOS 12X24X9 CM,UND,-1700.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-02-25,EG07-00000518 ,040111,ARENA FINA DE CUNYAC,M³,-3.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-03-09,RQ-22,830252,SAQUILLO BLANCO,UND,-30.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-03-10,RQ-22,100632,TRAMPA P DE POLIPROPILENO 1 1/4 - 1 1/2 CON CONECTOR PARA LAVATORIO DE BAÑO PROVISIONAL,UND,-2.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-03-17,EG07-00000566,050111,CONFITILLO ,M³,-3.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-03-17,EG07-00000566,040121,ARENA GRUESA DE CANTERA HUAMBUTIO,M³,-2.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-03-23,EG07-00000344  /   RQ-174,170221,LADRILLO KK 18 HUECOS 12X24X9 CM,UND,-1350.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-03-23,EG07-00000344  /   RQ-174,170231,LADRILLO KK 18 HUECOS 14X24X9 CM,UND,-1350.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-03-25,EG07-00000588,040111,ARENA FINA DE CUNYAC,M³,-3.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-03-31,FRANK,830225,CORTAVIENTO ,UND,-2.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-06-03,USO,810512,PEGAMENTO CELIMA PROFESIONAL BLANCO FLEXIBLE PARA PORCELANATO 25 kg,UND,-6.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-06-11,USO,390165,CAJA DE AGUA 20LT,UND,-3.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-06-11,001-0000439,900139,TEE THC BETA PP-RCT DE 20MM,UND,-2.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-06-11,001-0000439,900140,TEE THC BETA PP-RCT DE 25MM,UND,-1.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-06-11,001-0000439,900117,CODO THC BETA PP-RCT DE 20MM X 90°,UND,-29.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-06-11,001-0000439,900118,CODO THC BETA PP-RCT DE 25MM X 90°,UND,-4.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-06-11,001-0000439,900146,UNION COPLA THC BETA PP-RCT DE 20MM,UND,-3.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-06-11,001-0000439,900147,UNION COPLA THC BETA PP-RCT DE 25MM,UND,-3.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-06-11,USO,040351,YESO EN SACO DE 28 kg,BLS,-24.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-06-11,001-0000439,900122,CURVA DE SOBREPASAJE PP-RCT THC DE 25mm,UND,-5.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-06-12,001-0000439,900127,REDUCCION COPLA THC BETA  PP-RCT DE 25MM A 20MM,UND,-12.0,
2503,MAIA,Entrada con cantidad negativa (signo invertido),2026-08-07,TECHO,860421,THINNER ACRILICO MARCA ANYPSA X 01 GALON,UND,-1.0,
2503,MAIA,Salida con cantidad positiva (signo invertido),2025-11-07,RQ-038,370334,"NIVEL DE MANO 24"" (60CM)",UND,1.0,
2503,MAIA,Salida con cantidad positiva (signo invertido),2025-11-07,RQ-038,370331,ESCUADRA METALICA DE 60CM,UND,1.0,
2503,MAIA,Salida con cantidad positiva (signo invertido),2025-11-07,RQ-038,370333,PLOMADA DE PUNTA FINA DE LATÓN 12ONZ,UND,1.0,
2503,MAIA,Salida con cantidad positiva (signo invertido),2025-11-07,RQ-038,120772,MENEQUE DE TOMA MACHO AEREO 16 AMP 2P + TIERRA AZUL 6H1PP44,UND,3.0,
2503,MAIA,Salida con cantidad positiva (signo invertido),2025-11-21,S/N,720275,"UNIONES DE 3"" PVC SEL",UND,1.0,
2503,MAIA,Salida con cantidad positiva (signo invertido),2025-11-21,S/N,120496,CAJA UNIVERSAL / MODULAR KBA,UND,1.0,
2503,MAIA,Salida con cantidad positiva (signo invertido),2025-12-19,S/N,020558,TORNILLO PUNTA BROCA 6X1,UND,1000.0,
2503,MAIA,Salida con cantidad positiva (signo invertido),2025-12-23,S/N,170211,LADRILLO DE TECHO 30X30X15,UND,90.0,
2503,MAIA,Salida con cantidad positiva (signo invertido),2025-12-27,S/N,530101,PETROLEO,GLN,8.0,
2503,MAIA,Salida con cantidad positiva (signo invertido),2025-12-30,S/N,020221,ALAMBRE NEGRO RECOCIDO N° 16,KG,500.0,
2503,MAIA,Salida con cantidad positiva (signo invertido),2025-12-30,S/N,370216,"DISCO DE CORTE PARA METAL 7"" X 1/16"" NORTON",UND,125.0,
2503,MAIA,Salida con cantidad positiva (signo invertido),2025-12-30,S/N,370616,PALO DE ESCOBA,UND,4.0,
2503,MAIA,Salida con cantidad positiva (signo invertido),2025-12-30,S/N,390176,JABON LIQUIDO 3.100LT / 4.000 LT,UND,2.0,
2503,MAIA,Salida con cantidad positiva (signo invertido),2026-02-02,S/N,600111,CASETON POLIESTIRENO 15X30X3.00M D-12kg/M3,UND,50.0,
2503,MAIA,Salida con cantidad positiva (signo invertido),2026-02-06,INGRESO A STOCK,810512,PEGAMENTO CELIMA PROFESIONAL BLANCO FLEXIBLE PARA PORCELANATO 25 kg,UND,3.0,
2503,MAIA,Salida con cantidad positiva (signo invertido),2026-02-06,REINGRESO,720159,"TEE SANITARIA 4""X4"" PVC SAL",UND,10.0,
2503,MAIA,Salida con cantidad positiva (signo invertido),2026-02-06,REINGRESO,720183,"YEE 3""X3"" PVC SAL",UND,4.0,
2503,MAIA,Salida con cantidad positiva (signo invertido),2026-02-25,EG07-00000518 ,050111,CONFITILLO ,M³,2.0,
2503,MAIA,Salida con cantidad positiva (signo invertido),2026-02-27,T001-8444 / RQ-152,210112,CEMENTO PORTLAND TIPO IP (42.5kg) YURA®,UND,100.0,
2503,MAIA,Salida con cantidad positiva (signo invertido),2026-02-27,T001-159 / RQ-138,600111,CASETON POLIESTIRENO 15X30X3.00M D-12kg/M3,UND,130.0,
2503,MAIA,Salida con cantidad positiva (signo invertido),2026-02-27,EG07-00000525,050111,CONFITILLO ,M³,2.0,
2503,MAIA,Salida con cantidad positiva (signo invertido),2026-03-12,USO,030106,"ACERO CORRUGADO G° 60 DE 3/8"" x 9M AA",VARILLA,200.0,
2503,MAIA,Salida con cantidad positiva (signo invertido),2026-03-27,REINGRESO,720160,"TRAMPA P 2"" BLANCA PARA PISO",UND,5.0,
2503,MAIA,Salida con cantidad positiva (signo invertido),2026-04-11,REINGRESO,900121,CURVA DE SOBREPASAJE PP-RCT THC DE 20mm,UND,1.0,
2503,MAIA,Salida con cantidad positiva (signo invertido),2026-05-27,FE06-00001911/TG04-00001430 / RQ-217,900132,ADAPTADOR (TERMINAL) INSERTO MACHO ROSCA PPR DE 25MM THC,UND,4.0,
2503,MAIA,Salida con cantidad positiva (signo invertido),2026-06-03,T001-172 / RQ-220,600132,"PLANCHA DE POLIESTIRENO EXPANDIDO DE 2"" 1.20 X 2.40 METROS",UND,15.0,
2503,MAIA,Salida con cantidad positiva (signo invertido),2026-06-03,T001-172 / RQ-220,600121,"PLANCHA DE POLIESTILENO EXPANDIDO DE 1/2"" X 2.40 METROS",UND,25.0,
2503,MAIA,Salida con cantidad positiva (signo invertido),2026-06-19,RQ-224,120751,CANALETA PARA TIRA LED,UND,3.0,
2503,MAIA,Salida con cantidad positiva (signo invertido),2026-06-27,EG07-00000844,040122,ARENA GRUESA ROJA,M³,3.0,
2503,MAIA,Salida con cantidad positiva (signo invertido),2026-07-18,REINGRESO,020516,"GRAPA (GRILLETE) 1/4""",UND,11.0,
2503,MAIA,Salida con cantidad positiva (signo invertido),2026-08-27,REINGRESO,900112,TUBO THC BETA  DE 20MM CLASE 16  PP-RCT (5.80 m),UND,6.0,
2503,MAIA,Salida con cantidad positiva (signo invertido),2026-08-31,INGRESO,810142,CHEMA VISTA ECO 1GL,BLS,10.0,SELLADOR ROCOCHO
