proyecto,codigo,cant,fecha_inventario
2502,020120,90,2026-08-31
2502,020139,20,2026-08-31
2502,020140,7,2026-08-31
2502,020142,157,2026-08-31
2502,020176,12,2026-08-31
2502,020178,36,2026-08-31
2502,020180,81,2026-08-31
2502,020183,11,2026-08-31
2502,020192,24,2026-08-31
2502,020193,0,2026-08-31
2502,020210,5,2026-08-31
2502,020212,0,2026-08-31
2502,020221,106,2026-08-31
2502,020222,0,2026-08-31
2502,020411,147,2026-08-31
2502,020417,661,2026-08-31
2502,020418,0,2026-08-31
2502,020419,20,2026-08-31
2502,020442,33,2026-08-31
2502,020443,88,2026-08-31
2502,020444,0,2026-08-31
2502,020446,0,2026-08-31
2502,020447,54,2026-08-31
2502,020471,25,2026-08-31
2502,020473,34,2026-08-31
2502,020474,5,2026-08-31
2502,020492,0,2026-08-31
2502,020493,100,2026-08-31
2502,020494,0,2026-08-31
2502,020511,250,2026-08-31
2502,020516,138,2026-08-31
2502,020517,5,2026-08-31
2502,020521,300,2026-08-31
2502,020530,0,2026-08-31
2502,020534,43,2026-08-31
2502,020535,41,2026-08-31
2502,020537,0,2026-08-31
2502,020541,100,2026-08-31
2502,020542,500,2026-08-31
2502,020543,157,2026-08-31
2502,020546,800,2026-08-31
2502,020557,2700,2026-08-31
2502,020559,2150,2026-08-31
2502,020560,500,2026-08-31
2502,020561,1000,2026-08-31
2502,020566,250,2026-08-31
2502,020569,75,2026-08-31
2502,020581,500,2026-08-31
2502,030101,0,2026-08-31
2502,030102,0,2026-08-31
2502,030103,0,2026-08-31
2502,030104,0,2026-08-31
2502,030106,0,2026-08-31
2502,030107,0,2026-08-31
2502,030212,2,2026-08-31
2502,040111,0,2026-08-31
2502,040121,0,2026-08-31
2502,040122,0,2026-08-31
2502,040131,0,2026-08-31
2502,040331,7,2026-08-31
2502,040332,3,2026-08-31
2502,040333,2,2026-08-31
2502,040351,0,2026-08-31
2502,050111,0,2026-08-31
2502,050211,0,2026-08-31
2502,050212,0,2026-08-31
2502,050221,0,2026-08-31
2502,060113,35,2026-08-31
2502,060122,5,2026-08-31
2502,060126,3,2026-08-31
2502,060131,0,2026-08-31
2502,060141,9,2026-08-31
2502,060311,1,2026-08-31
2502,060321,0,2026-08-31
2502,070116,1780,2026-08-31
