proyecto,codigo,cant,fecha_inventario
2503,020120,47,2026-08-31
2503,020132,0,2026-08-31
2503,020135,0,2026-08-31
2503,020138,0,2026-08-31
2503,020139,48,2026-08-31
2503,020142,43,2026-08-31
2503,020191,0,2026-08-31
2503,020211,0,2026-08-31
2503,020221,100,2026-08-31
2503,020222,86,2026-08-31
2503,020417,508,2026-08-31
2503,020443,232,2026-08-31
2503,020444,0,2026-08-31
2503,020446,120,2026-08-31
2503,020471,14,2026-08-31
2503,020473,21,2026-08-31
2503,020474,17,2026-08-31
2503,020492,0,2026-08-31
2503,020493,0,2026-08-31
2503,020494,600,2026-08-31
2503,020516,29,2026-08-31
2503,020519,144,2026-08-31
2503,020523,21,2026-08-31
2503,020529,100,2026-08-31
2503,020535,71,2026-08-31
2503,020541,129,2026-08-31
2503,020542,0,2026-08-31
2503,020557,2000,2026-08-31
2503,020558,200,2026-08-31
2503,020559,2200,2026-08-31
2503,020560,0,2026-08-31
2503,020561,0,2026-08-31
2503,020568,100,2026-08-31
2503,020569,132,2026-08-31
2503,030101,0,2026-08-31
2503,030102,5,2026-08-31
2503,030103,4,2026-08-31
2503,030104,0,2026-08-31
2503,030106,0,2026-08-31
2503,030107,37,2026-08-31
2503,030108,0,2026-08-31
2503,040111,0,2026-08-31
2503,040121,0,2026-08-31
2503,040122,0,2026-08-31
2503,040131,0,2026-08-31
2503,040211,0,2026-08-31
2503,040331,5,2026-08-31
2503,040332,7,2026-08-31
2503,040351,0,2026-08-31
2503,050111,0,2026-08-31
2503,050211,0,2026-08-31
2503,050212,0,2026-08-31
2503,050221,0,2026-08-31
2503,060111,0,2026-08-31
2503,060112,0,2026-08-31
2503,060122,3,2026-08-31
2503,060131,0,2026-08-31
2503,060151,1,2026-08-31
2503,060321,8,2026-08-31
2503,060322,0,2026-08-31
2503,060323,0,2026-08-31
2503,070112,0,2026-08-31
2503,070113,0,2026-08-31
2503,070115,0,2026-08-31
2503,070116,300,2026-08-31
2503,070117,300,2026-08-31
2503,070118,300,2026-08-31
2503,070119,300,2026-08-31
2503,070120,300,2026-08-31
2503,070121,300,2026-08-31
2503,070122,300,2026-08-31
2503,070123,300,2026-08-31
2503,070125,0,2026-08-31
2503,070126,0,2026-08-31
2503,070127,36,2026-08-31
2503,100112,0,2026-08-31
2503,100246,0,2026-08-31
2503,100248,1,2026-08-31
2503,100313,0,2026-08-31
2503,100315,0,2026-08-31
2503,100323,0,2026-08-31
2503,100534,8,2026-08-31
2503,100612,0,2026-08-31
2503,100613,0,2026-08-31
2503,100614,0,2026-08-31
2503,100615,2,2026-08-31
2503,100620,0,2026-08-31
2503,100624,0,2026-08-31
2503,100632,0,2026-08-31
2503,100657,1,2026-08-31
2503,100662,1,2026-08-31
2503,100821,60,2026-08-31
2503,100822,13,2026-08-31
2503,110212,4,2026-08-31
2503,120120,0,2026-08-31
2503,120124,0,2026-08-31
2503,120129,0,2026-08-31
2503,120132,8,2026-08-31
2503,120133,0,2026-08-31
2503,120134,11,2026-08-31
2503,120137,4,2026-08-31
2503,120138,2,2026-08-31
2503,120141,15,2026-08-31
2503,120211,1,2026-08-31
2503,120231,0,2026-08-31
2503,120311,10,2026-08-31
2503,120312,0,2026-08-31
2503,120350,0,2026-08-31
2503,120385,0,2026-08-31
2503,120431,0,2026-08-31
2503,120461,0,2026-08-31
2503,120496,0,2026-08-31
2503,120527,0,2026-08-31
2503,120557,0,2026-08-31
2503,120615,0,2026-08-31
2503,120623,2,2026-08-31
2503,120701,76,2026-08-31
2503,120702,11,2026-08-31
2503,120703,0,2026-08-31
