proyecto,obra,codigo,material,unidad,cant_en_envase,movimientos,factor_caja,und_base,nota
2502,DANAUS,020192,"ABRAZADERA UNISTRUT 3/4"" C/PERNO Y TUERCA",PAR,24.0,1,1.0,PAR,"Confirmado por Lucia: el par se entrega completo, no se separa"
2502,DANAUS,020193,"ABRAZADERA UNISTRUT 1"" C/PERNO Y TUERCA",PAR,0.0,14,1.0,PAR,"Confirmado por Lucia: el par se entrega completo, no se separa"
2502,DANAUS,020417,"ALCAYATA ESTRIADA 1 1/2"" (3.5 x 40mm) 500gr",CAJA,661.0,19,500.0,GR,"antes: 50.0 UND (pieza) -> ahora: 500.0 GR (peso de caja, no pieza)"
2502,DANAUS,020418,"ALCAYATA ESTRIADA 2"" (3.5 x 50mm) 500gr",CAJA,0.0,5,500.0,GR,"antes: 50.0 UND (pieza) -> ahora: 500.0 GR (peso de caja, no pieza)"
2502,DANAUS,020419,"ALCAYATA ESTRIADA 2"" (3.7 x 50mm) 500gr",CAJA,20.0,2,500.0,GR,"antes: 50.0 UND (pieza) -> ahora: 500.0 GR (peso de caja, no pieza)"
2502,DANAUS,020442,"CLAVO DE ACERO ESTRIADO VERTICAL 1 1/2"" (2.7 x 40mm) Cja x 500gr ",CAJA,33.0,4,500.0,GR,"antes: 50.0 UND (pieza) -> ahora: 500.0 GR (peso de caja, no pieza)"
2502,DANAUS,020443,"CLAVO DE ACERO ESTRIADO VERTICAL 2"" (3.5 x 50mm) Cja x 500gr",CAJA,88.0,19,500.0,GR,"antes: 50.0 UND (pieza) -> ahora: 500.0 GR (peso de caja, no pieza)"
2502,DANAUS,020444,"CLAVO DE ACERO ESTRIADO VERTICAL 2 1/2"" (3.5 x 63mm) Cja x 500gr",CAJA,0.0,2,500.0,GR,"antes: 50.0 UND (pieza) -> ahora: 500.0 GR (peso de caja, no pieza)"
2502,DANAUS,020446,"CLAVO DE ACERO ESTRIADO VERTICAL 3"" (4.3 x 75mm) Cja x 500gr",CAJA,0.0,24,500.0,GR,"antes: 50.0 UND (pieza) -> ahora: 500.0 GR (peso de caja, no pieza)"
2502,DANAUS,020447,"CLAVO DE ACERO ESTRIADO VERTICAL 4"" (4.3 x 100mm) Cja x 500gr ",CAJA,54.0,13,500.0,GR,"antes: 50.0 UND (pieza) -> ahora: 500.0 GR (peso de caja, no pieza)"
2502,DANAUS,030101,"ACERO CORRUGADO G° 60 DE 1"" x 9M AA",VARILLA,0.0,11,1.0,UND,"Confirmado por Lucia: la varilla no se corta, se entrega completa (1 UND)"
2502,DANAUS,030102,"ACERO CORRUGADO G° 60 DE 3/4"" x 9M AA",VARILLA,0.0,31,1.0,UND,"Confirmado por Lucia: la varilla no se corta, se entrega completa (1 UND)"
2502,DANAUS,030103,"ACERO CORRUGADO G° 60 DE 5/8"" x 9M AA",VARILLA,0.0,36,1.0,UND,"Confirmado por Lucia: la varilla no se corta, se entrega completa (1 UND)"
2502,DANAUS,030104,"ACERO CORRUGADO G° 60 DE 1/2"" x 9M AA",VARILLA,0.0,30,1.0,UND,"Confirmado por Lucia: la varilla no se corta, se entrega completa (1 UND)"
2502,DANAUS,030106,"ACERO CORRUGADO G° 60 DE 3/8"" x 9M AA",VARILLA,0.0,46,1.0,UND,"Confirmado por Lucia: la varilla no se corta, se entrega completa (1 UND)"
2502,DANAUS,030107,"ACERO CORRUGADO G° 60 DE 1/4"" x 9M AA",VARILLA,0.0,21,1.0,UND,"Confirmado por Lucia: la varilla no se corta, se entrega completa (1 UND)"
2502,DANAUS,040351,YESO EN SACO DE 28 kg,BLS,0.0,29,1.0,BLS,"Confirmado por Lucia: no se pesan, se entrega la bolsa completa (1 BLS)"
2502,DANAUS,260111,"BISAGRA PESADA 4X3"" PUERTA PRINCIPAL UYUSTOOLS NIQUELADO",PAR,0.0,2,1.0,PAR,"Confirmado por Lucia: el par se entrega completo, no se separa"
2502,DANAUS,260178,BISAGRA OMEGA 4”X 4” INOX ,PAR,70.0,4,1.0,PAR,"Confirmado por Lucia: el par se entrega completo, no se separa"
2502,DANAUS,390123,BOLSA DE BASURA DE 75LT,PQT,1.0,1,100.0,UND,Confirmado por Lucia: 100 UND (antes: 100.0 MTS)
2502,DANAUS,390124,BOLSA DE BASURA DE 140 LT,PQT,1.0,1,100.0,UND,Confirmado por Lucia: 100 UND (antes: 100.0 MTS)
2502,DANAUS,390163,GRAPAS PARA ENGRAPADOR X CAJA,CAJA,0.0,2,,,
2502,DANAUS,530101,PETROLEO,GLN,0.0,96,,,
2502,DANAUS,810131,ADITIVO IMPERMEABILIZANTE CHEMA-SEAL GRIS 1 GALÓN + COMPLEMENTO LIQUIDO DE 1/2 LITRO,GLN,0.0,2,,,
2502,DANAUS,810141,IMPERMEABILIZANTE PENETRON 22.7KG,BLS,0.0,4,1.0,BLS,"Confirmado por Lucia: no se pesan, se entrega la bolsa completa (1 BLS)"
2502,DANAUS,830233,GUANTES DE JEBE TALLA M,PAR,2.0,8,1.0,PAR,"Confirmado por Lucia: el par se entrega completo, no se separa"
2502,DANAUS,830239,GUANTES CORRUGADO M,PAR,0.0,2,1.0,PAR,"Confirmado por Lucia: el par se entrega completo, no se separa"
2502,DANAUS,830242,GUANTES DE PRECISIÓN GRIS/NEGRO,PAR,3.0,23,1.0,PAR,"Confirmado por Lucia: el par se entrega completo, no se separa"
2502,DANAUS,830243,GUANTES DE HILO CON PALMA DE GOMA ROJO/AMARILLO,PAR,4.0,63,1.0,PAR,"Confirmado por Lucia: el par se entrega completo, no se separa"
2502,DANAUS,830313,CINTA DE SEGURIDAD COLOR AMARILLO,ROLLO,1.0,1,100.0,MTS,
2502,DANAUS,830321,MALLA FAENA EN ROLLO NARANJA 50 YD. ,ROLLO,1.0,2,45.72,MTS,Confirmado por Lucia: convertir a metros. 50 YD x 0.9144 = 45.72 MTS (antes: 50.0 MTS)
2502,DANAUS,860111,BASE ZINCROMATO MAESTRO - PINTURA BASE PARA METAL,GLN,10.0,13,,,
2502,DANAUS,860241,ESMALTE SINTETICO GLOSS BLANCO GA-1000 X 1GL,GLN,0.0,2,,,
2502,DANAUS,860242,ESMALTE SINTETICO GLOSS NEGRO GA-7000 X 1GL,GLN,1.0,1,,,
2502,DANAUS,860251,PINTURA DE TRAFICO COLOR AMARILLO,GLN,2.0,1,,,
2502,DANAUS,930421,COLA CLASICA PARA MADERA X 1 GLN,GALON,0.0,2,,,
