proyecto,obra,codigo,material,unidad,cant_en_envase,movimientos,factor_caja,und_base,nota
2503,MAIA,020191,"ABRAZADERA UNISTRUT 1/2"" C/PERNO Y TUERCA",PAR,0.0,2,1.0,PAR,"Confirmado por Lucia: el par se entrega completo, no se separa"
2503,MAIA,020417,"ALCAYATA ESTRIADA 1 1/2"" (3.5 x 40mm) 500gr",CAJA,508.0,5,500.0,GR,"antes: 50.0 UND (pieza) -> ahora: 500.0 GR (peso de caja, no pieza)"
2503,MAIA,020443,"CLAVO DE ACERO ESTRIADO VERTICAL 2"" (3.5 x 50mm) Cja x 500gr",CAJA,232.0,9,500.0,GR,"antes: 50.0 UND (pieza) -> ahora: 500.0 GR (peso de caja, no pieza)"
2503,MAIA,020444,"CLAVO DE ACERO ESTRIADO VERTICAL 2 1/2"" (3.5 x 63mm) Cja x 500gr",CAJA,0.0,2,500.0,GR,"antes: 50.0 UND (pieza) -> ahora: 500.0 GR (peso de caja, no pieza)"
2503,MAIA,020446,"CLAVO DE ACERO ESTRIADO VERTICAL 3"" (4.3 x 75mm) Cja x 500gr",CAJA,120.0,2,500.0,GR,"antes: 50.0 UND (pieza) -> ahora: 500.0 GR (peso de caja, no pieza)"
2503,MAIA,030101,"ACERO CORRUGADO G° 60 DE 1"" x 9M AA",VARILLA,0.0,15,1.0,UND,"Confirmado por Lucia: la varilla no se corta, se entrega completa (1 UND)"
2503,MAIA,030102,"ACERO CORRUGADO G° 60 DE 3/4"" x 9M AA",VARILLA,5.0,37,1.0,UND,"Confirmado por Lucia: la varilla no se corta, se entrega completa (1 UND)"
2503,MAIA,030103,"ACERO CORRUGADO G° 60 DE 5/8"" x 9M AA",VARILLA,4.0,41,1.0,UND,"Confirmado por Lucia: la varilla no se corta, se entrega completa (1 UND)"
2503,MAIA,030104,"ACERO CORRUGADO G° 60 DE 1/2"" x 9M AA",VARILLA,0.0,46,1.0,UND,"Confirmado por Lucia: la varilla no se corta, se entrega completa (1 UND)"
2503,MAIA,030106,"ACERO CORRUGADO G° 60 DE 3/8"" x 9M AA",VARILLA,0.0,54,1.0,UND,"Confirmado por Lucia: la varilla no se corta, se entrega completa (1 UND)"
2503,MAIA,030107,"ACERO CORRUGADO G° 60 DE 1/4"" x 9M AA",VARILLA,37.0,20,1.0,UND,"Confirmado por Lucia: la varilla no se corta, se entrega completa (1 UND)"
